正向提示词,上传动漫风格图像,上传真人实拍的动作视频,输出动漫风格视频,flag,username,timestamp
"1boy,male focus,blue hair,(solo),white shorts,blue eyes,white sportswear,full body,male child,red shoes,white socks",F:\diffusion\sd-webui-aki\sd-webui-aki-v4.5\extensions\sd-webui-animed-video-controlnet\flagged\上传动漫风格图像\6cb306e6daf8b558fe2a0f53c3e914d178bf4dab\tmp4iqti9l8.png,F:\diffusion\sd-webui-aki\sd-webui-aki-v4.5\extensions\sd-webui-animed-video-controlnet\flagged\上传真人实拍的动作视频\cbd19464e9dadd3daf8b6730ac6108d50491c0a5\walking.mp4,F:\diffusion\sd-webui-aki\sd-webui-aki-v4.5\extensions\sd-webui-animed-video-controlnet\flagged\输出动漫风格视频\5ceaa73cbd90335d26ee904043aabdb8bcf6ed7c\transfer_reference_keyframes_video.mp4,,,2024-02-20 13:51:38.531275
,F:\diffusion\sd-webui-aki\sd-webui-aki-v4.5\extensions\sd-webui-animed-video-controlnet\flagged\上传动漫风格图像\1810014406b515fcdae17d65ee40fcbaeb0df2c5\tmp3ew0uozq.png,F:\diffusion\sd-webui-aki\sd-webui-aki-v4.5\extensions\sd-webui-animed-video-controlnet\flagged\上传真人实拍的动作视频\f0ac16463caef81bd1d80d174c0b6a57052c5c08\tmpi5eoqstr.mp4,,,,2024-02-20 15:01:09.725398
